192,-1,-1,-1,-1,n,n
49,84,85,37,26,c7,Db7
50,86,87,38,27,d7,Eb7
51,88,88,39,-1,e7,e7
52,89,90,40,28,f7,Gb7
53,91,92,41,29,g7,Ab7
54,93,94,42,30,a7,Bb7
55,95,95,43,-1,b7,b7
56,96,97,44,31,c8,Db8
57,98,99,45,32,d8,Eb8
48,100,100,46,-1,e8,e8
45,101,102,47,33,f8,Gb8
61,103,104,48,34,g8,Ab8
8,-1,-1,-1,-1,n,n
9,-1,-1,-1,-1,n,n
81,72,73,30,21,c6,Db6
87,74,75,31,22,d6,Eb6
69,76,76,32,-1,e6,e6
82,77,78,33,23,f6,Gb6
84,79,80,34,24,g6,Ab6
89,81,82,35,25,a6,Bb6
85,83,83,36,-1,b6,b6
73,84,85,37,26,c7,Db7
79,86,87,38,27,d7,Eb7
80,88,88,39,-1,e7,e7
91,89,90,40,29,f7,Gb7
93,91,92,41,30,g7,Ab7
92,93,94,42,-1,a7,Bb7
20,-1,-1,-1,-1,n,n
65,60,61,23,16,c5,Db5
83,62,63,24,17,d5,Eb5
68,64,64,25,-1,e5,e5
70,65,66,26,18,f5,Gb5
71,67,68,27,19,g5,Ab5
72,69,70,28,20,a5,Bb5
74,71,71,29,-1,b5,b5
75,72,73,30,21,c6,Db6
76,74,75,31,22,d6,Eb6
59,76,76,32,-1,e6,e6
222,77,78,33,23,f6,Gb6
10,-1,-1,-1,-1,n,n
16,-1,-1,-1,-1,n,n
90,48,49,16,11,c4,Db4
88,50,51,17,12,d4,Eb4
67,52,52,18,-1,e4,e4
86,53,54,19,13,f4,Gb4
66,55,56,20,14,g4,Ab4
78,57,58,21,15,a4,Bb4
77,59,59,22,-1,b4,b4
44,60,61,23,16,c5,Db5
46,62,63,24,17,d5,Eb5
47,64,64,25,-1,e5,e5
16,-1,-1,-1,-1,n,n
17,-1,-1,-1,-1,n,n
18,-1,-1,-1,-1,n,n
32,-1,-1,-1,-1,n,n
18,-1,-1,-1,-1,n,n
17,-1,-1,-1,-1,n,n
